State Postal,County Name,TOTAL VOTES CAST,Party1,First name1,Last name1,Votes1,Party2,First name2,Last name2,Votes2,Median Household Income
CO,Rio Grande,5453,Dem,Barack,Obama,2428,GOP,Mitt,Romney,2892,"37,837"
CO,Routt,13038,Dem,Barack,Obama,7389,GOP,Mitt,Romney,5361,"62,271"
CO,Saguache,2796,Dem,Barack,Obama,1762,GOP,Mitt,Romney,937,"30,197"
CO,San Juan,506,Dem,Barack,Obama,266,GOP,Mitt,Romney,212,"35,734"
CO,San Miguel,4215,Dem,Barack,Obama,2961,GOP,Mitt,Romney,1144,"53,477"
CO,Sedgwick,1337,Dem,Barack,Obama,419,GOP,Mitt,Romney,881,"37,633"
CO,Summit,15038,Dem,Barack,Obama,9169,GOP,Mitt,Romney,5495,"61,286"
CO,Teller,12144,Dem,Barack,Obama,3894,GOP,Mitt,Romney,7909,"59,558"
CO,Weld,112695,Dem,Barack,Obama,47418,GOP,Mitt,Romney,62350,"55,332"
CT,Bethel,9333,GOP,Mitt,Romney,4445,Dem,Barack,Obama,4777,"41,722"
CT,Bristol,24088,GOP,Mitt,Romney,10548,Dem,Barack,Obama,13283,"66,178"
CT,Burlington,5098,GOP,Mitt,Romney,2683,Dem,Barack,Obama,2357,"74,285"
CT,Cheshire,14812,GOP,Mitt,Romney,7271,Dem,Barack,Obama,7355,"54,819"
CT,Chester,2109,GOP,Mitt,Romney,707,Dem,Barack,Obama,1380,"82,456"
CT,Clinton,6592,GOP,Mitt,Romney,2926,Dem,Barack,Obama,3607,"46,217"
CT,Durham,4026,GOP,Mitt,Romney,1985,Dem,Barack,Obama,2013,"50,889"
CT,Essex,3975,GOP,Mitt,Romney,1701,Dem,Barack,Obama,2230,"67,408"
CT,Fairfield,29933,GOP,Mitt,Romney,14352,Dem,Barack,Obama,15282,"79,536"
CT,Goshen,1785,GOP,Mitt,Romney,1017,Dem,Barack,Obama,749,"42,045"
CT,Guilford,12693,GOP,Mitt,Romney,5170,Dem,Barack,Obama,7411,"43,299"
CT,Hampton,1029,GOP,Mitt,Romney,413,Dem,Barack,Obama,601,"32,860"
CT,Hartford,34037,GOP,Mitt,Romney,2138,Dem,Barack,Obama,31735,"63,374"
CT,Kent,1706,GOP,Mitt,Romney,606,Dem,Barack,Obama,1080,"51,695"
CT,Lebanon,3619,GOP,Mitt,Romney,1685,Dem,Barack,Obama,1878,"51,490"
CT,Litchfield,4632,GOP,Mitt,Romney,2403,Dem,Barack,Obama,2151,"67,746"
CT,Morris,1309,GOP,Mitt,Romney,747,Dem,Barack,Obama,542,"42,765"
CT,New Haven,44643,GOP,Mitt,Romney,4430,Dem,Barack,Obama,39865,"59,217"
CT,New London,8499,GOP,Mitt,Romney,1654,Dem,Barack,Obama,6710,"65,573"
CT,Norfolk,949,GOP,Mitt,Romney,384,Dem,Barack,Obama,556,"80,192"
CT,Oxford,6598,GOP,Mitt,Romney,3905,Dem,Barack,Obama,2599,"41,280"
CT,Plymouth,5352,GOP,Mitt,Romney,2713,Dem,Barack,Obama,2553,"58,885"
CT,Preston,2393,GOP,Mitt,Romney,1186,Dem,Barack,Obama,1165,"40,431"
CT,Putnam,3421,GOP,Mitt,Romney,1507,Dem,Barack,Obama,1839,"33,593"
CT,Salem,2138,GOP,Mitt,Romney,996,Dem,Barack,Obama,1098,"57,939"
CT,Scotland,835,GOP,Mitt,Romney,415,Dem,Barack,Obama,408,"35,365"
CT,Sherman,2096,GOP,Mitt,Romney,1049,Dem,Barack,Obama,1020,"39,160"
CT,Somers,4946,GOP,Mitt,Romney,2837,Dem,Barack,Obama,2055,"34,454"
CT,Stafford,5624,GOP,Mitt,Romney,2491,Dem,Barack,Obama,3018,"43,240"
CT,Sterling,1399,GOP,Mitt,Romney,711,Dem,Barack,Obama,655,"51,059"
