State Postal,County FIPS Code,County Name,TOTAL VOTES CAST,Party1,First name1,Last name1,Votes1,Party2,First name2,Last name2,Votes2,Median Household Income
CA,113,Yolo,59613,Dem,Barack,Obama,38856,GOP,Mitt,Romney,19080,"51,040"
CA,115,Yuba,15009,Dem,Barack,Obama,5817,GOP,Mitt,Romney,8746,"41,599"
CO,0,Colorado,2419698,Dem,Barack,Obama,1238490,GOP,Mitt,Romney,1125391,"56,880"
CO,1,Adams,161495,Dem,Barack,Obama,90843,GOP,Mitt,Romney,66531,"55,695"
CO,3,Alamosa,6671,Dem,Barack,Obama,3782,GOP,Mitt,Romney,2693,"37,731"
CO,5,Arapahoe,254746,Dem,Barack,Obama,135433,GOP,Mitt,Romney,114232,"60,525"
CO,7,Archuleta,6646,Dem,Barack,Obama,2637,GOP,Mitt,Romney,3831,"46,127"
CO,9,Baca,2096,Dem,Barack,Obama,462,GOP,Mitt,Romney,1554,"37,775"
CO,11,Bent,1881,Dem,Barack,Obama,778,GOP,Mitt,Romney,1053,"33,540"
CO,13,Boulder,173207,Dem,Barack,Obama,120485,GOP,Mitt,Romney,48526,"66,894"
CO,14,Broomfield,32191,Dem,Barack,Obama,16653,GOP,Mitt,Romney,14765,"81,040"
CO,15,Chaffee,10217,Dem,Barack,Obama,4967,GOP,Mitt,Romney,4949,"44,651"
CO,17,Cheyenne,1045,Dem,Barack,Obama,162,GOP,Mitt,Romney,858,"51,093"
CO,19,Clear Creek,5610,Dem,Barack,Obama,3041,GOP,Mitt,Romney,2381,"65,359"
CO,21,Conejos,4027,Dem,Barack,Obama,2180,GOP,Mitt,Romney,1794,"31,970"
CO,23,Costilla,1804,Dem,Barack,Obama,1317,GOP,Mitt,Romney,440,"26,075"
CO,25,Crowley,1502,Dem,Barack,Obama,535,GOP,Mitt,Romney,924,"30,460"
CO,27,Custer,2697,Dem,Barack,Obama,862,GOP,Mitt,Romney,1776,"46,744"
CO,29,Delta,15681,Dem,Barack,Obama,4542,GOP,Mitt,Romney,10762,"41,208"
CO,31,Denver,285564,Dem,Barack,Obama,209759,GOP,Mitt,Romney,69755,"50,455"
CO,33,Dolores,1218,Dem,Barack,Obama,329,GOP,Mitt,Romney,838,"39,254"
CO,35,Douglas,150160,Dem,Barack,Obama,54093,GOP,Mitt,Romney,93930,"98,426"
CO,37,Eagle,22374,Dem,Barack,Obama,12598,GOP,Mitt,Romney,9317,"69,870"
CO,39,Elbert,13993,Dem,Barack,Obama,3542,GOP,Mitt,Romney,10148,"81,528"
CO,41,El Paso,275604,Dem,Barack,Obama,104989,GOP,Mitt,Romney,163819,"55,312"
CO,43,Fremont,20258,Dem,Barack,Obama,6644,GOP,Mitt,Romney,13087,"40,809"
CO,45,Garfield,23695,Dem,Barack,Obama,10989,GOP,Mitt,Romney,12159,"54,088"
CO,47,Gilpin,3271,Dem,Barack,Obama,1854,GOP,Mitt,Romney,1320,"61,447"
CO,49,Grand,7961,Dem,Barack,Obama,3575,GOP,Mitt,Romney,4149,"56,191"
CO,51,Gunnison,7912,Dem,Barack,Obama,4563,GOP,Mitt,Romney,3106,"49,861"
CO,53,Hinsdale,598,Dem,Barack,Obama,228,GOP,Mitt,Romney,352,"50,177"
CO,55,Huerfano,3623,Dem,Barack,Obama,1897,GOP,Mitt,Romney,1615,"31,574"
CO,61,Kiowa,821,Dem,Barack,Obama,118,GOP,Mitt,Romney,677,"40,216"
CO,63,Kit Carson,3525,Dem,Barack,Obama,789,GOP,Mitt,Romney,2664,"44,059"
CO,67,La Plata,28475,Dem,Barack,Obama,15063,GOP,Mitt,Romney,12554,"55,888"
CO,69,Larimer,161823,Dem,Barack,Obama,83103,GOP,Mitt,Romney,74603,"56,132"
CO,71,Las Animas,6532,Dem,Barack,Obama,3282,GOP,Mitt,Romney,3105,"38,713"
CO,77,Mesa,69033,Dem,Barack,Obama,22448,GOP,Mitt,Romney,45087,"46,940"
CO,79,Mineral,650,Dem,Barack,Obama,291,GOP,Mitt,Romney,344,"47,169"
CO,81,Moffat,6042,Dem,Barack,Obama,1291,GOP,Mitt,Romney,4616,"57,023"
CO,83,Montezuma,12232,Dem,Barack,Obama,4486,GOP,Mitt,Romney,7372,"40,351"
CO,85,Montrose,19054,Dem,Barack,Obama,5852,GOP,Mitt,Romney,12789,"45,226"
CO,89,Otero,8039,Dem,Barack,Obama,3566,GOP,Mitt,Romney,4315,"35,026"
CO,91,Ouray,3183,Dem,Barack,Obama,1640,GOP,Mitt,Romney,1470,"61,657"
CO,93,Park,9054,Dem,Barack,Obama,3721,GOP,Mitt,Romney,5085,"60,731"
CO,97,Pitkin,9779,Dem,Barack,Obama,6648,GOP,Mitt,Romney,2941,"67,057"
CO,99,Prowers,4809,Dem,Barack,Obama,1498,GOP,Mitt,Romney,3200,"36,580"
CO,101,Pueblo,73306,Dem,Barack,Obama,40624,GOP,Mitt,Romney,31023,"41,209"
CO,103,Rio Blanco,3311,Dem,Barack,Obama,561,GOP,Mitt,Romney,2677,"57,922"
CO,105,Rio Grande,5453,Dem,Barack,Obama,2428,GOP,Mitt,Romney,2892,"37,837"
CO,107,Routt,13038,Dem,Barack,Obama,7389,GOP,Mitt,Romney,5361,"62,271"
CO,109,Saguache,2796,Dem,Barack,Obama,1762,GOP,Mitt,Romney,937,"30,197"
CO,111,San Juan,506,Dem,Barack,Obama,266,GOP,Mitt,Romney,212,"35,734"
CO,113,San Miguel,4215,Dem,Barack,Obama,2961,GOP,Mitt,Romney,1144,"53,477"
CO,115,Sedgwick,1337,Dem,Barack,Obama,419,GOP,Mitt,Romney,881,"37,633"
CO,117,Summit,15038,Dem,Barack,Obama,9169,GOP,Mitt,Romney,5495,"61,286"
CO,119,Teller,12144,Dem,Barack,Obama,3894,GOP,Mitt,Romney,7909,"59,558"
CO,123,Weld,112695,Dem,Barack,Obama,47418,GOP,Mitt,Romney,62350,"55,332"
CT,0,Connecticut,1562187,GOP,Mitt,Romney,631432,Dem,Barack,Obama,912531,"67,275"
CT,5,Bristol,24088,GOP,Mitt,Romney,10548,Dem,Barack,Obama,13283,"53,670"
CT,5,Burlington,5098,GOP,Mitt,Romney,2683,Dem,Barack,Obama,2357,"74,285"
CT,5,Cheshire,14812,GOP,Mitt,Romney,7271,Dem,Barack,Obama,7355,"54,819"
CT,29,Chester,2109,GOP,Mitt,Romney,707,Dem,Barack,Obama,1380,"82,456"
CT,45,Clinton,6592,GOP,Mitt,Romney,2926,Dem,Barack,Obama,3607,"46,217"
CT,63,Durham,4026,GOP,Mitt,Romney,1985,Dem,Barack,Obama,2013,"50,889"
CT,9,Essex,3975,GOP,Mitt,Romney,1701,Dem,Barack,Obama,2230,"67,408"
CT,1,Fairfield,29933,GOP,Mitt,Romney,14352,Dem,Barack,Obama,15282,"79,536"
CT,15,Goshen,1785,GOP,Mitt,Romney,1017,Dem,Barack,Obama,749,"42,045"
CT,81,Guilford,12693,GOP,Mitt,Romney,5170,Dem,Barack,Obama,7411,"43,299"
CT,49,Hampton,1029,GOP,Mitt,Romney,413,Dem,Barack,Obama,601,"32,934"
CT,3,Hartford,34037,GOP,Mitt,Romney,2138,Dem,Barack,Obama,31735,"63,374"
CT,1,Kent,1706,GOP,Mitt,Romney,606,Dem,Barack,Obama,1080,"51,695"
CT,75,Lebanon,3619,GOP,Mitt,Romney,1685,Dem,Barack,Obama,1878,"51,490"
CT,5,Litchfield,4632,GOP,Mitt,Romney,2403,Dem,Barack,Obama,2151,"67,746"
CT,127,Morris,1309,GOP,Mitt,Romney,747,Dem,Barack,Obama,542,"42,765"
CT,9,New Haven,44643,GOP,Mitt,Romney,4430,Dem,Barack,Obama,39865,"59,217"
